clean_image,distorted_image,method,psnr
4550966,4550963,new,39.80412
4550966,4550964,ref,35.18761
4550970,4550967,new,40.962425
4550970,4550968,ref,35.571045
4550986,4550983,new,44.89828
4550986,4550984,ref,35.186695
4551226,4551223,new,38.920444
4551226,4551224,ref,36.517624
4551250,4551247,new,39.55346
4551250,4551248,ref,37.072014
4551306,4551303,new,40.548626
4551306,4551304,ref,36.73936
4551414,4551411,new,37.02014
4551414,4551412,ref,34.65962
4551442,4551439,new,38.32509
4551442,4551440,ref,40.03128
4551616,4551613,new,30.024391
4551616,4551614,ref,35.77868
4551620,4551617,new,28.547594
4551620,4551618,ref,41.5048
4551624,4551621,new,27.51116
4551624,4551622,ref,34.888836
4551644,4551641,new,33.98957
4551644,4551642,ref,28.52792
4551672,4551669,new,30.566156
4551672,4551670,ref,38.30018
4551692,4551689,new,29.233166
4551692,4551690,ref,36.893375
4551704,4551701,new,31.85979
4551704,4551702,ref,34.92536
4551724,4551721,new,31.83365
4551724,4551722,ref,40.855392
4551740,4551737,new,33.536755
4551740,4551738,ref,44.363514
4551744,4551741,new,30.522058
4551744,4551742,ref,35.591972
4551756,4551753,new,33.58693
4551756,4551754,ref,38.651974
4551760,4551757,new,33.311245
4551760,4551758,ref,33.316734
4551780,4551777,new,33.099026
4551780,4551778,ref,39.2706
4551804,4551801,new,32.76943
4551804,4551802,ref,36.288383
4551848,4551845,new,35.235657
4551848,4551846,ref,39.678787
4551852,4551849,new,41.522938
4551852,4551850,ref,32.45094
4551856,4551853,new,32.688984
4551856,4551854,ref,43.19506
4551864,4551861,new,33.328815
4551864,4551862,ref,42.374115
4551884,4551881,new,31.11002
4551884,4551882,ref,36.69467
4551900,4551897,new,34.265068
4551900,4551898,ref,44.256905
4551908,4551905,new,36.62554
4551908,4551906,ref,41.37302
4551948,4551945,new,42.40499
4551948,4551946,ref,32.915176
4551956,4551953,new,40.1082
4551956,4551954,ref,34.19988
4551968,4551965,new,33.80325
4551968,4551966,ref,38.996197
4551980,4551977,new,34.568314
4551980,4551978,ref,45.151375
4551984,4551981,new,32.077755
4551984,4551982,ref,39.566536
4552004,4552001,new,34.956787
4552004,4552002,ref,41.185486
4552032,4552029,new,32.399574
4552032,4552030,ref,35.62925
4552068,4552065,new,33.47859
4552068,4552066,ref,36.724674
4552092,4552089,new,33.470413
4552092,4552090,ref,43.558296
4552116,4552113,new,31.82805
4552116,4552114,ref,38.138775
4552204,4552201,new,32.999073
4552204,4552202,ref,36.744884
4552236,4552233,new,34.874107
4552236,4552234,ref,36.872196
4552248,4552245,new,31.665869
4552248,4552246,ref,43.430134
4552252,4552249,new,37.526344
4552252,4552250,ref,33.54153
4552268,4552265,new,32.347084
4552268,4552266,ref,40.94233
4552272,4552269,new,33.922035
4552272,4552270,ref,40.33905
4552312,4552309,new,35.145367
4552312,4552310,ref,38.53284
4552360,4552357,new,36.46009
4552360,4552358,ref,40.94233
4552384,4552381,new,34.31334
4552384,4552382,ref,38.765667
4552388,4552385,new,36.060524
4552388,4552386,ref,34.646946
4552428,4552425,new,35.61361
4552428,4552426,ref,33.91079
4552432,4552429,new,34.579803
4552432,4552430,ref,38.62594
4552456,4552453,new,36.135765
4552456,4552454,ref,39.042824
4552492,4552489,new,38.11635
4552492,4552490,ref,35.119778
4552540,4552537,new,34.847347
4552540,4552538,ref,39.598385
4552564,4552561,new,38.19534
4552564,4552562,ref,34.194466
4552580,4552577,new,50.108772
4552580,4552578,ref,33.79831
4552622,4552619,new,40.510273
4552622,4552620,ref,30.961178
4552626,4552623,new,40.052635
4552626,4552624,ref,30.987226
4552646,4552643,new,42.416626
4552646,4552644,ref,31.358309
4552650,4552647,new,42.353016
4552650,4552648,ref,31.340084
4552654,4552651,new,32.383453
4552654,4552652,ref,34.343647
4552658,4552655,new,40.95965
4552658,4552656,ref,29.352245
4552674,4552671,new,37.36167
4552674,4552672,ref,30.12518
4552698,4552695,new,40.505264
4552698,4552696,ref,32.01118
4552702,4552699,new,43.730904
4552702,4552700,ref,32.35847
4552706,4552703,new,42.36068
4552706,4552704,ref,34.905853
4552738,4552735,new,42.99308
4552738,4552736,ref,36.227955
4552762,4552759,new,43.864334
4552762,4552760,ref,34.262245
4552782,4552779,new,49.472855
4552782,4552780,ref,34.312138
4552794,4552791,new,41.03104
4552794,4552792,ref,32.72918
4552810,4552807,new,38.263832
4552810,4552808,ref,34.79583
4552822,4552819,new,39.34606
4552822,4552820,ref,34.038376
